fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
saliva,ebv-miR-BART9-5p,0.0,1.0,-8.011935761707607,-7.331733494982257,-7.00483599369567
saliva,ebv-miR-BHRF1-1,0.0,1.0,-9.916547025132072,-8.965580421384676,-8.992547352101377
saliva,ebv-miR-BHRF1-2-3p,0.0,0.0,-11.541708585291907,-10.308335218599868,-9.8312349587438
saliva,ebv-miR-BHRF1-2-5p,0.0,1.0,-2.4285613794165304,-0.3962406251802891,-0.646240625180289
saliva,ebv-miR-BHRF1-3,0.0,1.0,-8.434144487743147,-7.339546009156579,-6.200816911362905
saliva,hcmv-miR-UL112-3p,0.0,0.5,-10.201993923345965,-9.214225943919663,-7.668680664228454
saliva,hcmv-miR-UL148D,0.0,1.0,-9.38250897106536,-8.252155259363533,-7.664639328433669
saliva,hcmv-miR-UL22A-3p,0.0,1.0,-2.7341594847506427,-2.1229632740824185,-1.042481250360578
saliva,hcmv-miR-UL22A-5p,0.0,1.0,-6.8256227736175585,-6.23723313184042,-6.083919007115147
saliva,hcmv-miR-UL36-3p,0.0,1.0,-2.1229632740824185,-1.6229632740824187,0.0
saliva,hcmv-miR-UL36-5p,0.0,1.0,-6.028822204492299,-4.463449217516229,-5.283775130178386
saliva,hcmv-miR-UL70-3p,0.0,1.0,-7.297665647964445,-6.909955473789745,-6.467306111126122
saliva,hcmv-miR-UL70-5p,0.0,1.0,-5.420980813874053,-5.357648358243565,-4.437192348250129
saliva,hcmv-miR-US25-1-3p,0.0,1.0,-9.368685010290845,-8.775807963583745,-7.740700428945875
saliva,hcmv-miR-US25-1-5p,0.0,1.0,-3.207925774803575,-2.542481250360578,-1.8729632740824187
saliva,hcmv-miR-US25-2-3p,0.0,1.0,-5.907251089151995,-5.812508665553755,-5.557412422856486
saliva,hcmv-miR-US25-2-5p,0.0,1.0,-5.041138665801014,-4.605175105544223,-3.9220625772832944
saliva,hcmv-miR-US33-3p,0.0,1.0,-6.227486817629218,-5.234024681321412,-5.069668085952845
saliva,hcmv-miR-US33-5p,0.0,0.0,-10.38935919614234,-10.218445827192902,-8.350605842049386
saliva,hcmv-miR-US5-1,0.0,1.0,-8.878029570296315,-8.78439737729038,-5.721673837646385
saliva,hcmv-miR-US5-2-3p,0.0,1.0,-8.00709645060096,-6.627844668152367,-6.035389590450272
saliva,hiv1-miR-H1,0.0,1.0,-8.02641989584345,-8.021109839740031,-7.473990183007091
saliva,hiv1-miR-N367,0.0,1.0,-2.9886399617499584,-2.438721875540867,-2.160964047443681
saliva,hiv1-miR-TAR-3p,0.0,1.0,-7.538338217400434,-7.481143857084405,-7.484408495635336
saliva,hiv1-miR-TAR-5p,0.0,1.0,-1.05720467262397,-1.0,-0.25
saliva,hsa-miR-1-3p,0.0,1.0,-2.042481250360578,-1.8304820237218404,-0.896240625180289
saliva,hsa-miR-1-5p,0.0,1.0,-6.909207359119323,-6.168394234171032,-5.581790841847912
saliva,hsa-miR-100-3p,0.0,1.0,-2.32480200459682,-2.0572046726239703,-0.896240625180289
saliva,hsa-miR-100-5p,0.0,1.0,-3.1229632740824185,-3.0535797802001916,-2.2692038992627075
saliva,hsa-miR-101-3p,0.0,1.0,-6.937442293252286,-4.605800525705449,-4.224408194728749
saliva,hsa-miR-101-5p,0.0,1.0,-1.7267226489021297,-1.0,-0.7924812503605781
saliva,hsa-miR-103a-2-5p,0.0,1.0,-2.630400109930932,-1.7414460711655215,-0.9767226489021296
saliva,hsa-miR-103a-3p,0.0,0.5,-10.454363026242904,-9.568132082056142,-8.213486744373833
saliva,hsa-miR-103b,0.0,1.0,-3.356303975824846,-2.396240625180289,-0.646240625180289
saliva,hsa-miR-105-3p,0.0,1.0,-4.032320754236242,-2.688721875540867,-3.032320754236242
saliva,hsa-miR-105-5p,0.0,1.0,-6.609870796507324,-5.48118573187862,-3.7718657103125848
saliva,hsa-miR-106a-3p,0.0,1.0,-2.630400109930932,-1.8304820237218404,-1.146240625180289
saliva,hsa-miR-106a-5p,0.0,1.0,-3.433041856415846,-2.34807935569469,-2.0572046726239703
saliva,hsa-miR-106b-3p,0.0,1.0,-7.275822062171885,-6.2153380102883355,-5.889862420048849
